country_region,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,6.0,7.0,0.0,1.0,6.0,0.0,22.0,6.0,0.0,0.0,8.0,0.0,13.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,22.0,65.0,45.0,22.0,87.0,0.0,72.0,0.0,60.0,31.0,2.0,16.0,0.0,19.0,0.0,0.0,1.0,0.0,78.0,0.0,3.0,0.0,10.0,3.0,6.0,0.0,3.0,7.0,0.0,28.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,41.0,0.0,1.0,8.0,0.0,7.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,6.0,3.0,0.0,9.0,3.0,0.0,9.0,4.0,6.0,8.0,7.0,3.0,5.0,1.0,7.0,1.0,1.0,11.0,6.0,4.0,2.0,6.0,0.0,12.0,10.0,9.0,8.0,26.0,30.0,19.0,33.0,22.0,25.0,62.0,45.0,31.0,55.0,115.0,43.0,150.0,206.0,164.0,213.0,150.0,63.0,101.0,73.0,171.0,85.0,187.0,162.0,85.0,156.0,107.0,178.0,194.0,162.0,188.0,189.0,203.0,250.0,246.0,342.0,204.0,320.0,310.0,232.0,370.0,504.0,685.0,640.0,752.0,575.0,883.0,1230.0,1513.0,1382.0,1469.0,1473.0,1054.0,1005.0,923.0,1037.0,920.0,1126.0,849.0,911.0,834.0,877.0,772.0,675.0,690.0,616.0,678.0,536.0,514.0,530.0,534.0,505.0,558.0,602.0
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,3.0,0.0,24.0,0.0,0.0,2.0,0.0,9.0,10.0,13.0,4.0,7.0,13.0,23.0,16.0,3.0,68.0,15.0,38.0,48.0,43.0,0.0,25.0,25.0,21.0,21.0,25.0,42.0,23.0,37.0,11.0,25.0,14.0,23.0,13.0,8.0,17.0,13.0,21.0,17.0,9.0,10.0,38.0,21.0,23.0,71.0,12.0,13.0,16.0,18.0,23.0,12.0,23.0,28.0,23.0,22.0,25.0,57.0,11.0,38.0,46.0,27.0,48.0,20.0,65.0,20.0,38.0,89.0,96.0,0.0,54.0,69.0,56.0,55.0,31.0,0.0,28.0,20.0,40.0,0.0,61.0,30.0,50.0,32.0
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,-30.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,13.0,31.0,0.0,0.0,0.0,45.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,0.0,35.0,0.0,0.0,0.0,32.0,0.0,0.0,18.0,0.0,0.0,0.0,29.0,0.0,0.0,4.0,0.0,0.0,0.0,15.0,0.0,0.0,21.0,0.0,0.0,0.0,13.0,0.0,24.0,0.0,27.0,0.0,0.0,30.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,12.0,3.0,4.0,3.0,0.0,5.0,2.0,6.0,3.0,4.0,4.0,0.0,6.0,2.0,0.0,5.0,9.0,1.0,3.0,0.0,0.0,5.0,1.0,0.0,13.0,3.0,1.0,5.0,5.0,27.0,0.0,3.0,2.0,0.0,0.0,5.0,0.0,42.0,5.0,3.0,0.0,6.0,0.0,14.0,3.0,11.0,0.0,0.0,0.0,2.0,0.0,10.0,1.0,0.0,4.0,0.0,0.0,412.0,0.0,4.0,21.0,0.0,1.0,3.0,7.0,6.0,3.0,4.0,3.0,4.0,5.0,7.0,37.0,0.0,0.0,11.0,16.0,37.0,13.0,8.0,15.0,0.0,7.0,14.0,18.0,37.0,16.0,46.0,62.0,9.0,21.0,5.0,41.0,0.0
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,13.0,0.0,5.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,17.0,4.0,0.0,0.0,0.0,6.0,0.0,16.0,4.0,3.0,8.0,4.0,3.0,2.0,3.0,3.0,5.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,2.0,9.0,2.0,8.0,2.0,6.0,1.0,9.0,9.0,1.0,4.0,1.0,6.0,4.0,4.0,5.0,2.0,1.0,18.0,10.0,0.0,4.0,0.0,6.0,10.0,0.0,8.0,7.0
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,3.0,1.0,7.0,6.0,2.0,3.0,2.0,15.0,5.0,13.0,16.0,6.0,2.0,2.0
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,9.0,0.0,0.0
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,46.0,0.0,43.0,4.0,0.0,37.0,40.0,32.0,18.0,14.0,0.0,56.0,59.0,42.0,31.0,30.0,7.0,7.0,62.0,27.0,26.0,5.0,38.0,3.0,3.0,40.0,40.0,21.0,26.0,63.0,0.0,5.0,17.0,58.0,26.0,31.0,23.0,9.0,0.0,28.0,24.0,0.0,62.0,24.0,3.0,0.0,27.0,19.0,9.0,23.0,13.0,7.0,0.0,13.0,11.0,13.0,29.0,19.0,7.0,3.0,7.0,31.0,3.0,28.0,16.0,11.0,2.0,12.0,6.0,2.0,13.0,8.0,5.0,0.0,8.0,1.0,10.0,7.0
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,40.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,27.0,22.0,26.0,10.0,33.0,41.0,17.0,2279.0,81.0,16.0,19.0,0.0,11.0,79.0,0.0,105.0,61.0,26.0,7.0,40.0,53.0,21.0,24.0,36.0,16.0,8.0,19.0,36.0,17.0,17.0,3.0,13.0,3.0,10.0,13.0,7.0,10.0,9.0,14.0,2.0,8.0,12.0,12.0,0.0,18.0,12.0,3.0,13.0,13.0,11.0,3.0,11.0,2.0,1.0,2.0,6.0,8.0,4.0,7.0,2.0,2.0,2.0,5.0,4.0,7.0,5.0,3.0,0.0,6.0,3.0,0.0
MS Zaandam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macau,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,4.0,0.0,0.0,0.0,9.0,1.0,2.0,6.0,4.0,0.0,2.0,4.0,2.0,3.0,8.0,6.0,3.0,1.0,9.0,4.0,7.0,8.0,2.0,2.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,4.0,2.0,0.0,5.0,0.0,12.0,0.0,4.0,3.0,4.0,5.0,0.0,4.0,3.0,10.0,1.0,3.0,6.0,11.0,10.0,5.0,1.0,11.0,21.0,21.0,20.0,22.0,16.0,32.0,18.0,5.0,17.0,33.0,33.0,13.0,35.0,120.0,37.0,37.0,40.0,47.0,44.0,39.0
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,3.0,0.0,4.0,0.0,1.0,17.0,0.0,167.0,0.0,0.0,1.0,1.0,0.0
Malaysia,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,9.0,7.0,0.0,7.0,11.0,15.0,12.0,27.0,25.0,20.0,24.0,16.0,16.0,44.0,61.0,68.0,91.0,58.0,108.0,122.0,60.0,88.0,90.0,236.0,80.0,166.0,121.0,222.0,165.0,113.0,168.0,202.0,169.0,119.0,201.0,135.0,95.0,98.0,54.0,103.0,90.0,121.0,99.0,100.0,95.0,75.0,55.0,84.0,39.0,116.0,87.0,71.0,83.0,135.0,74.0,88.0,65.0,96.0,88.0,110.0,58.0,70.0,88.0,73.0,59.0,44.0,31.0,60.0,90.0,63.0,53.0,33.0,34.0,62.0,42.0,86.0,66.0,95.0,23.0,51.0,66.0,61.0,28.0,51.0,25.0,39.0,20.0,281.0,39.0,51.0,103.0,143.0,35.0,54.0,333.0,140.0,127.0,70.0,76.0,10.0,21.0,9.0,45.0,40.0,23.0
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,11.0,5.0,4.0,9.0,0.0,0.0,33.0,0.0,0.0,18.0,19.0,16.0,11.0,42.0,0.0,0.0,0.0,209.0,47.0,35.0,120.0,36.0,4.0,69.0,46.0,64.0,98.0,85.0,111.0,32.0,40.0,24.0,94.0,229.0,130.0,7.0,0.0,92.0,19.0,15.0,10.0,0.0,26.0,9.0,15.0
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,3.0,4.0,6.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,7.0,1.0,14.0,1.0,16.0,4.0,10.0,4.0,21.0,1.0,9.0,7.0,6.0,61.0,10.0,7.0,10.0,5.0,33.0,10.0,14.0,13.0,53.0,26.0,21.0,14.0,24.0,19.0,24.0,15.0,18.0,17.0,14.0,15.0,2.0,14.0,23.0,7.0,13.0,15.0,20.0,17.0,27.0,20.0,28.0,25.0,19.0,18.0,10.0,29.0,28.0,43.0,15.0,17.0,41.0,34.0,35.0,30.0,37.0,20.0,23.0,24.0,25.0,38.0,0.0,11.0,36.0,52.0,29.0,4.0
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,11.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,38.0,9.0,8.0,19.0,8.0,24.0,15.0,39.0,19.0,26.0,33.0,4.0,17.0,36.0,12.0,32.0,-4.0,13.0,7.0,4.0,4.0,6.0,6.0,8.0,6.0,1.0,0.0,2.0,7.0,15.0,-8.0,4.0,2.0,4.0,5.0,3.0,1.0,4.0,3.0,9.0,0.0,6.0,10.0,13.0,11.0,9.0,3.0,17.0,8.0,14.0,7.0,13.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,0.0,5.0,2.0,0.0,3.0,3.0,0.0,1.0,1.0,6.0,3.0,5.0
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,28.0,2.0,8.0,4.0,35.0,4.0,11.0,20.0,3.0,108.0,28.0,33.0,21.0,28.0,13.0,54.0,123.0,103.0,43.0,115.0,94.0,58.0,111.0,151.0,55.0
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,11.0,4.0,0.0,5.0,14.0,0.0,9.0,14.0,16.0,27.0,72.0,28.0,16.0,19.0,18.0,5.0,19.0,10.0,4.0,3.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1139.0,71.0,121.0,161.0,0.0,0.0,0.0,502.0,0.0,0.0,0.0,0.0,4522.0,0.0,1205.0,732.0,2337.0,0.0,0.0,954.0,0.0,1070.0,0.0,3363.0,971.0,0.0,2533.0,1510.0,0.0,1276.0,2835.0,1055.0,1485.0,1976.0,1397.0,1481.0,2059.0,1937.0,1094.0,1733.0,2039.0,2233.0,2555.0,2473.0,2256.0,2126.0,2207.0,2962.0,2244.0,2525.0,3193.0,2784.0,2931.0,2078.0,3083.0,2989.0,2945.0,3858.0,3115.0,3182.0,3268.0,3678.0,3202.0,3220.0,4994.0,3102.0,3110.0,3676.0,4258.0,4416.0,3641.0,4888.0,4263.0,4841.0,3875.0,4465.0
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,5.0,0.0,3.0,3.0,1.0,7.0,3.0,0.0,10.0,6.0,19.0,19.0,13.0,27.0,37.0,64.0,41.0,115.0,66.0,0.0,48.0,55.0,101.0,94.0,70.0,70.0,30.0,50.0,139.0,68.0,90.0,62.0,48.0,41.0,121.0,114.0,89.0,79.0,99.0,33.0,22.0,89.0,107.0,52.0,0.0,116.0,0.0,81.0,83.0,445.0,0.0,416.0,83.0,261.0,89.0,82.0,0.0,239.0,155.0,177.0,126.0,41.0,116.0,125.0,146.0,231.0,210.0,188.0,100.0,59.0,133.0,142.0,157.0,192.0,202.0,171.0,107.0,176.0,175.0,273.0,220.0,151.0,123.0,193.0,188.0,199.0,166.0
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,8.0,2.0,0.0,1.0,3.0,0.0,9.0,6.0,1.0,0.0,0.0,8.0,8.0,6.0,9.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,3.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,5.0,5.0,0.0,0.0,12.0,2.0,6.0,0.0,3.0,0.0,11.0,2.0,16.0,5.0,7.0,0.0,14.0,5.0,10.0,1.0,1.0,5.0
